name,price
"Dewalt Cordless Handheld Blower, DCM572X1-GB, 54V",2038.25
"Dewalt Cordless Impact Wrench, DCF894P2-GB, 18V, 1/2 Inch",1297.25
"Dewalt Cordless Screwdriver, DCF601D2-GB, 12V, 2.0Ah",676.5
"Dewalt Cordless Hammer Drill, DCD709D2-GB, 18V, 2Ah",1065.5
"Dewalt Cordless Hammer Drill, DCD706D2-GB, 12V, 10MM",713.5
"Dewalt SDS-Plus Hammer Drill Bit, DW00708-AE, 10x110MM",7.0
"Dewalt Wood Auger Drill Bit, DT4621-QZ, 32x200MM",70.0
"Dewalt Extreme2 SDS-Plus Hammer Drill Bit, DT9581-QZ, 16x300MM",29.25
"Dewalt Extreme2 SDS-Plus Hammer Drill Bit, DT9578-QZ, 16x160MM",25.75
"Dewalt Extreme2 SDS-Plus Hammer Drill Bit, DT9539-QZ, 10x110MM",13.25
"Dewalt Hole Saw, DT8122-QZ, 22MM",null
"Dewalt Diamond Core Cutter, DT9866-QZ, 20MM",null
"Dewalt Rotary Hammer With SDS Plus, D25033C, 710W",null
"Dewalt Extreme HSS Drill Bit Set, DT50492-XJ, 12x151MM, 5PCS",null
"Dewalt Mitre Saw, DWS780-LX, 1675W, 110V, 305MM",null
"Dewalt 12 Kg SDS Max Demolition Hammer, D25951K-LX, 1600W, 110V",4367.0
"Dewalt Hole Saw, DT8132-QZ, 32MM",null
"Dewalt Safety Boot, 60011-103-40, Size6, Brown",null
"Dewalt SDS-Plus Hammer Drill Bit, DW00730-AE, 22x450MM",null
"Dewalt Circular Saw Blade, DT1160-QZ, 305x30MM, 24 Teeth",null
"Dewalt Hole Saw, DT8135-QZ, 35MM",null
"Dewalt Safety Boots, 50086-126-43, Size9, Black",267.25
"Dewalt Safety Boot, 50085-126-43, Size9, Black",232.25
"Dewalt XLR Flat Chisel, DT6818-QZ, SDS-Max, 400MM",null
"Dewalt Stylish Safety Glasses , DPG51-2D, Smoke",38.5
"Dewalt Hammer Drill, D25033C-B4, SDS-Plus, 22MM, 710W, Yellow and Black",616.25
"Dewalt Dust Extraction Kit, DE7777-XJ",null
"Dewalt Dust Extraction Kit, DE7778-XJ",null
"Dewalt Impact Drill, D21710KM-B5, 701W, 13MM",364.25
"Dewalt Guide Rail, DWS5022-XJ",420.0
"Dewalt Guide Rail, DWS5023-XJ",null
"Dewalt Suction Adapter, DE8760-XJ, 100MM",null
"Dewalt Extreme2 Masonry Drill Bit, DT9610-QZ, 24x450MM",null
"Dewalt Dust Extraction Attachment, DWH051K-XJ, 27MM",null
"Dewalt SDS Chuck Adapter, DT7030-QZ",null
"Dewalt Keyed Chuck, DT7012-QZ, 13MM",null
"Dewalt Continuous Rim Diamond Blade, DW47901HP, 230MM",null
"Dewalt Extreme HSS Drill Bit Set, DT50474-XJ, 4.5x80MM, 10PCS",null
"Dewalt Extreme SDS-Max Hammer Drill Bit, DT9430-QZ, 28x570MM",null
"Dewalt Hole Saw Mandrel, DT8102-QZ",null
"Dewalt 10 Kg SDS Max In-Line Demolition Hammer With Shocks, D25901K-B4, 1500W, 110V",3415.75
"Dewalt SDS-Plus Hammer Drill Bit, DT8933-QZ, 12x160MM",null
"Dewalt Angle Grinder, DWE492-B5, 2200W, 9 Inch",475.75
"Dewalt Magentic Nut Setter, DT7402-QZ, 8x50MM",null
"Dewalt Wood Auger Drill Bit, DT4610-QZ, 16x200MM",null
"Dewalt Right Angle Drill, DCD740C1-GB, 360W",1019.25
"Dewalt Impact Socket Set, DT7506-QZ, 17PCS",null
"Dewalt Torsion Bit, DT7247-QZ, PH3, 50MM, PK5",null
"Dewalt Hole Saw, DT8221-QZ, 121MM",null
"Dewalt SDS-Plus Hammer Drill Bit, DT8923-QZ, 8x160MM",null
"Dewalt Band Saw Blade, DT8481-QZ, 12x2095MM",null
"Dewalt Band Saw Blade, DT8485-QZ, 12x2095MM",null
"Dewalt Cutting Disc, DWA8062SIA, WA60TBF, 115x22.23x1MM",null
"Dewalt XR Compact Cordless Leaf Blower, DCV100D2-GB, Li-Ion, 18V",834.0
"Dewalt Cutting Disc, DX7711-AE, AS36RBF, 350x25.4x3MM",18.75
"Dewalt Tile Cutter, DW862-B5, 34MM, 1270W",435.5
"Dewalt SDS Plus Combination Hammer W/ QCC, D25134K-B5, 800W",735.0
"Dewalt Angle Grinder, DWE4001-B5, 800W, 4 Inch",278.0
"Dewalt Turbo Grinding Cup Wheel, DX4041, 125MM",null
"Dewalt SDS-Plus Hammer Drill Bit, DT8939-QZ, 14x200MM",null
"Dewalt Extreme SDS-Max Hammer Drill Bit, DT60203-XJ, 18x540MM",null
"Dewalt Circular Saw Blade, DT1163-QZ, 315x30MM, 24 Teeth",null
"Dewalt Angle Grinder, DWE4212-B4, 115MM, 1200W, S, Yellow and Black",346.0
"Dewalt Safety Boot, 50085-126-41, Size7, Black",232.25
"Dewalt Laser Distance Meter, DW03101-XJ, 100 Mtrs",875.75
"Dewalt Extreme SDS-Max Hammer Drill Bit, DT60213-XJ, 26x540MM",null
"Dewalt VSR High Torque Adjustable Screwdriver, DW269, 540W, 240V",871.0
"Dewalt Extreme SDS-Max Hammer Drill Bit, DT60205-XJ, 20x540MM",null
"Dewalt Safety Boot, 50099-130-44, Size10, Black",291.75
"Dewalt SDS-Max Combi Hammer, D25721K-B5, 1350W, 48MM",3979.25
"Dewalt Connector Kit, DWV9210-XJ",null
"Dewalt SDS-Plus Hammer Drill Bit, DW00711-AE, 10x350MM",null
"Dewalt Masonry Drill Bit, DW540800C-B1, 8x150MM",null
"Dewalt Planer Knives, DE7330-XJ",null
"Dewalt Planer Knives, DE7333-XJ",null
"Dewalt Dual Port XR Battery Charger, DCB132-GB, 18V, 4A",null
"Dewalt Wood Auger Drill Bit, DT4612-QZ, 18x200MM",null
"Dewalt XLR Pointed Chisel, DT6888-QZ, SDS-Max, 300MM",null
"Dewalt Pointed Chisel, DT6801-QZ, SDS-Plus, 250MM",null
